date,cash,income,expenses
2024-01-01,80000,40000,35000
2024-02-01,85000,35000,30000
2024-03-01,90000,45000,40000
2024-04-01,95000,25000,20000
2024-05-01,100000,30000,25000
2024-06-01,105000,20000,15000
2024-07-01,110000,15000,10000
2024-08-01,115000,35000,30000
2024-09-01,120000,18000,13000
2024-10-01,125000,12000,7000
2024-11-01,130000,8000,3000
2024-12-01,135000,25000,20000
2025-01-01,140000,22000,17000
2025-02-01,145000,15000,10000
2025-03-01,150000,10000,5000
2025-04-01,155000,5000,0
2025-05-01,160000,18000,13000
2025-06-01,165000,12000,7000
2025-07-01,170000,8000,3000
2025-08-01,175000,3000,-2000
2025-09-01,180000,15000,10000
2025-10-01,185000,6000,1000
2025-11-01,190000,2000,-3000
2025-12-01,195000,10000,5000
